Priority,Category,File Path,Line,Column,Hardcoded String,Type,Translation Key,Notes
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,157,68,MB →,p,imageCompressor.info.sizeArrow,Hardcoded arrow separator
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,173,96,Compression Quality,label,imageCompressor.labels.compressionQuality,Setting label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,188,23,Smaller file (lower quality),span,imageCompressor.hints.smallerFile,Slider hint text
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,189,23,Larger file (higher quality),span,imageCompressor.hints.largerFile,Slider hint text
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,198,16,Max Width (px),label,imageCompressor.labels.maxWidth,Dimension input label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,219,16,Max Height (px),label,imageCompressor.labels.maxHeight,Dimension input label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,240,16,Output Format,label,imageCompressor.labels.outputFormat,Format selection label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,254,38,JPEG (best for photos),option,imageCompressor.formats.jpeg,Format option
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,255,38,WebP (best compression),option,imageCompressor.formats.webp,Format option
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,256,37,PNG (lossless),option,imageCompressor.formats.png,Format option
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,274,16,Maintain aspect ratio,label,imageCompressor.labels.maintainAspectRatio,Checkbox label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,288,64,Original Size,p,imageCompressor.info.originalSize,Info section label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,292,64,Reduction,p,imageCompressor.info.reduction,Info section label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,298,64,Compressed Size,p,imageCompressor.info.compressedSize,Info section label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,306,45,💡 Compression Tips:,p,imageCompressor.tips.heading,Tips heading with emoji - KEEP EMOJI
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,308,19,For web use, 70-80% quality is usually optimal,li,imageCompressor.tips.webQuality,Tip text
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,309,19,WebP format offers best compression with great quality,li,imageCompressor.tips.webpCompression,Tip text
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,310,19,JPEG works best for photos, PNG for graphics with transparency,li,imageCompressor.tips.formatChoices,Tip text
2,Functional,app/[locale]/(pseo)/_components/tools/ImageCompressor.tsx,159,68,MB →,p,imageCompressor.info.sizeArrow,Partial conversion - only arrow remains
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,205,89,Original Image,label,imageResizer.labels.originalImage,Form label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,225,89,Preview (New Size),label,imageResizer.labels.previewNewSize,Form label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,233,71,New dimensions,p,imageResizer.info.newDimensions,Info text
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,247,16,Preset Sizes,label,imageResizer.labels.presetSizes,Selection label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,269,16,Output Format,label,imageResizer.labels.outputFormat,Format selection label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,285,38,WebP,option,imageResizer.formats.webp,Format option
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,294,16,Width (px),label,imageResizer.labels.width,Dimension input label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,313,16,Height (px) ...,label,imageResizer.labels.height,Dimension input label - conditional content
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,316,84,(auto-calculated),span,imageResizer.hints.autoCalculated,Conditional hint when aspect ratio locked
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,338,16,Quality: {quality}%,label,imageResizer.labels.quality,Quality label - has dynamic value
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,366,16,Maintain aspect ratio,label,imageResizer.labels.maintainAspectRatio,Checkbox label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,376,47,Original:,span,imageResizer.info.original,File info label
2,Functional,app/(pseo)/_components/tools/ImageResizer.tsx,377,55,Original: {file.name} (...),p,imageResizer.info.originalFile,File info display - has filename interpolation
2,Functional,app/[locale]/(pseo)/_components/tools/ImageResizer.tsx,292,38,WebP,option,imageResizer.formats.webp,Partial conversion - only WebP remains
